"Station" "SimpsonDiv_raw" "FractNotDiseased_raw" "HardCoralCover_raw" "AlgaeCover_raw" "Rugosity_raw" "HerbivoreBiomass_raw" "TempVar_raw" "ThermalTol_raw" "SimpsonDiv_rescaled" "FractNotDiseased_rescaled" "HardCoralCover_rescaled" "AlgaeCover_rescaled" "Rugosity_rescaled" "HerbivoreBiomass_rescaled" "TempVar_rescaled" "ThermalTol_rescaled" "region" "survey_year" "survey_date" "latitude" "longitude" "biotope" "admin" "habitat" "depth" "stratum" "fish" "LPI" "demo" "N_cells_stratum" "N_fish_cells_sampled" "fish_sampling_weights" "N_LPI_cells_sampled" "LPI_sampling_weights" "N_demo_cells_sampled" "demo_sampling_weights" "minDepth" "maxDepth" "rugosity" "resil_all_indic" "resil_no_temp_var" "resil_rank_all_indic" "resil_rank_no_temp_var" "resil_quart_all_indic" "resil_quart_no_temp_var" "weighting_sys" "quartile_change_all_indic" "diff_unweighted_weighted_all_indic" "quartile_change_no_temp_var" "diff_unweighted_weighted_no_temp_var"
9134 0.834677419 1 12 41 0.925 2321.240196 0.288500011 3.09375 0.894297234962249 1 0.428571428571429 0.672131147540984 0.632478632478633 0.0752586054661472 0.710766222169174 0.61875 "PR" 2014 2014-07-14 17.8779394 -66.158413 "SW" "OPEN" "PVMT" "DEEP" "SW_OPEN_PVMT_DEEP" 1 1 1 86962 29 2998.7 29 2998.7 "16" "5435.1" "87" "92" "0.925" 0.904698954898738 0.90381762905201 12 9 1 1 0 "N/A" "N/A" "N/A" "N/A"
9135 0.886243386 1 2 61 1.4625 1532.345118 0.317000002 3.553571429 0.949546485339124 1 0.0714285714285714 1 1 0.0496812681739114 0.780980538157278 0.7107142858 "PR" 2014 2014-07-17 17.8774343 -66.124001 "SW" "OPEN" "PVMT" "DEEP" "SW_OPEN_PVMT_DEEP" 1 1 1 86962 29 2998.7 29 2998.7 "16" "5435.1" "79" "89" "1.4625" 1 1 1 1 1 1 0 "N/A" "N/A" "N/A" "N/A"
9142 0.818181818 1 2 21 0.254166667 835.3381871 0.30250001 3.863636364 0.876623376741651 1 0.0714285714285714 0.344262295081967 0.173789174017094 0.0270831028870248 0.745257473539012 0.7727272728 "PR" 2014 2014-07-14 17.9265787 -66.089251 "SW" "OPEN" "PTRF" "DEEP" "SW_OPEN_PTRF_DEEP" 1 1 1 14175 8 1771.9 8 1771.9 "5" "2835" "33" "41" "0.254166667" 0.721128738391385 0.68304970662999 78 76 4 3 0 "N/A" "N/A" "N/A" "N/A"
9144 0.848484848 1 2 21 0.502083333 2817.536805 0.278400004 3.5 0.909090908896104 1 0.0714285714285714 0.344262295081967 0.343304843076923 0.0913493963956171 0.685883228943665 0.7 "PR" 2014 2014-07-15 17.9422992 -66.024378 "SW" "OPEN" "AGRF" "SHLW" "SW_OPEN_AGRF_SHLW" 1 1 1 12667 11 1151.5 11 1151.5 "6" "2111.2" "7" "10" "0.502083333" 0.745245874065942 0.723523921594234 65 62 3 3 0 "N/A" "N/A" "N/A" "N/A"
9145 0.728508772 0.96875 21 19 0.354166667 5630.670209 0.290499985 4.395833333 0.780545113135909 0.96875 0.75 0.311475409836066 0.242165242393162 0.182556026946002 0.715693480090202 0.8791666666 "PR" 2014 2014-07-17 17.9445264 -66.081883 "SW" "OPEN" "PTRF" "SHLW" "SW_OPEN_PTRF_SHLW" 1 1 1 9516 8 1189.5 8 1189.5 "6" "1586" "19" "22" "0.354166667" 0.868401114869843 0.86056045303565 19 17 1 1 0 "N/A" "N/A" "N/A" "N/A"
9146 0.892037787 0.974358974 3 3 0.3375 1598.543423 0.288899988 3.435897436 0.955754772127055 0.974358974 0.107142857142857 0.0491803278688525 0.230769230769231 0.0518275312478957 0.711751629900214 0.6871794872 "PR" 2014 2014-07-15 17.9489529 -65.987478 "SW" "OPEN" "PVMT" "DEEP" "SW_OPEN_PVMT_DEEP" 1 1 1 86962 29 2998.7 29 2998.7 "16" "5435.1" "60" "78" "0.3375" 0.677405059369904 0.639191861323183 87 86 4 4 0 "N/A" "N/A" "N/A" "N/A"
9147 0.777841234 1 28 24 0.304166667 2097.901592 0.278400004 4.432038835 0.833401322440501 1 1 0.39344262295082 0.207977208205128 0.0680175832260704 0.685883228943665 0.886407767 "PR" 2014 2014-07-14 17.9582346 -66.003829 "SW" "OPEN" "PVMT" "SHLW" "SW_OPEN_PVMT_SHLW" 1 1 1 48631 19 2559.5 19 2559.5 "7" "6947.3" "23" "27" "0.304166667" 0.91240728909588 0.917989183679224 9 7 1 1 0 "N/A" "N/A" "N/A" "N/A"
9148 0.810810811 1 11 18 0.2625 1089.001361 0.317200005 4.202702703 0.868725869238831 1 0.392857142857143 0.295081967213115 0.17948717948718 0.0353072999170123 0.781473277745882 0.8405405406 "PR" 2014 2014-07-15 18.0162314 -65.819322 "SW" "OPEN" "PVMT" "SHLW" "SW_OPEN_PVMT_SHLW" 1 1 1 48631 19 2559.5 19 2559.5 "7" "6947.3" "34" "36" "0.2625" 0.789859028933995 0.755431923892017 47 48 2 2 0 "N/A" "N/A" "N/A" "N/A"
9152 0.756742464 1 10 24 0.942307692 8649.140811 0.316500008 2.838709677 0.810795497432427 1 0.357142857142857 0.39344262295082 0.644312951794872 0.280420043146712 0.77974872244519 0.5677419354 "PR" 2014 2014-08-19 18.0982239 -65.3285 "E" "OPEN" "PVMT" "DEEP" "E_OPEN_PVMT_DEEP" 1 1 1 41388 16 2586.8 16 2586.8 "7" "5912.6" "67" "75" "0.942307692" 0.868985884012327 0.847843900399706 18 20 1 1 0 "N/A" "N/A" "N/A" "N/A"
9153 0.666666667 1 0 5 0.120833333 0 0.369100004 4.25 0.714285714897959 1 0 0.0819672131147541 0.0826210823931624 0 0.90933728056498 0.85 "PR" 2014 2014-08-20 18.2122896 -65.395513 "E" "OPEN" "PTRF" "DEEP" "E_OPEN_PTRF_DEEP" 1 1 1 10074 8 1259.3 8 1259.3 "5" "2014.8" "72" "72" "0.120833333" 0.654077959765462 0.570730493945672 91 95 4 4 0 "N/A" "N/A" "N/A" "N/A"
